_id,id,charge,created_at,name,_migrated_at,_migrated_from
"6a89a3033fb8c43ecce7c39d","5","30","2026-07-15T09:46:35.335Z","ALANGIRI","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c39e","10","150","2026-07-15T09:46:35.335Z","ANTLA","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c39f","11","40","2026-07-15T09:46:35.335Z","BAITA","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3a0","6","90","2026-07-15T09:46:35.335Z","DOBANDHI","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3a1","3","100","2026-07-15T09:46:35.335Z","EGRA","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3a2","8","80","2026-07-15T09:46:35.335Z","KASBAGOLA","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3a3","2","40","2026-07-15T09:46:35.335Z","KUDI","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3a4","7","80","2026-07-15T09:46:35.335Z","MOHANPUR","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3a5","4","20","2026-07-15T09:46:35.335Z","QIYA","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3a6","9","95","2026-07-15T09:46:35.335Z","RAJMAGAR","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3a7","12","60","2026-07-15T10:31:21.823Z","PANCHROL","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3a8","13","40","2026-07-15T10:31:39.397Z","HAMIRJITA","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3a9","14","30","2026-07-15T10:31:51.767Z","TELAMI","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3aa","15","100","2026-07-15T10:32:05.578Z","AMDAI","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3ab","16","110","2026-07-15T10:32:20.112Z","NEGHWA","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3ac","17","80","2026-07-15T10:32:40.850Z","KHAL SHUTIA","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3ad","18","80","2026-07-15T10:32:58.325Z","PURANDA","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3ae","19","60","2026-07-15T10:33:10.019Z","RASAN","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3af","20","50","2026-07-15T10:33:49.270Z","KUDI DHOBANDI / AILAN","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3b0","21","70","2026-07-15T10:35:56.351Z","GANTA PUKUR","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
"6a89a3033fb8c43ecce7c3b1","1","10","2026-07-15T09:46:35.335Z","JERTHAN","""2026-08-22T13:49:10.823Z""","""public"".""delivery_areas"""
