_id,id,available,description,featured,mrp,price,updated_at,_migrated_at,_migrated_from
"6a89a3043fb8c43ecce7c3b2","43","true","","false","","185.00","2026-07-12T11:51:47.470Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3b3","42","true","","false","","690.00","2026-07-12T11:51:49.166Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3b4","33","true","6pic","false","215.00","195.00","2026-08-16T20:20:57.863Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3b5","44","true","","true","870.00","855.00","2026-07-12T11:54:37.308Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3b6","169","false","","false","","25.00","2026-08-03T11:46:12.416Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3b7","180","false","","false","","75.00","2026-08-03T11:46:25.679Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3b8","190","false","","false","","55.00","2026-08-03T11:46:44.953Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3b9","195","false","","false","","55.00","2026-08-03T11:46:56.202Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3ba","153","true","","false","","50.00","2026-08-03T11:47:41.219Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3bb","148","false","","false","","395.00","2026-08-03T11:48:05.717Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3bc","89","false","","false","","195.00","2026-08-03T11:48:45.572Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3bd","94","false","","false","","205.00","2026-08-03T11:48:50.251Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3be","75","true","","false","","70.00","2026-08-03T11:49:22.015Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3bf","111","false","","false","","105.00","2026-08-03T11:50:36.979Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3c0","114","false","","false","","125.00","2026-08-03T11:50:46.022Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3c1","58","true","","false","","140.00","2026-08-19T13:04:53.496Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3c2","59","true","","false","","100.00","2026-08-19T13:04:55.505Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3c3","61","true","","false","","90.00","2026-08-19T13:04:58.768Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3c4","62","true","","true","","895.00","2026-08-19T13:05:03.980Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3c5","60","false","","false","","245.00","2026-08-22T08:42:46.223Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3c6","31","true","6pic","false","","225.00","2026-07-15T13:14:07.343Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3c7","32","true","6pic","false","","180.00","2026-07-15T13:14:26.695Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3c8","11","false","","false","","95.00","2026-07-11T16:24:16.929Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3c9","93","false","","false","","270.00","2026-07-11T16:25:28.061Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3ca","129","false","","false","","260.00","2026-07-11T16:27:34.102Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3cb","127","false","","false","","255.00","2026-07-11T16:27:40.790Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3cc","128","false","","false","","265.00","2026-07-11T16:27:45.926Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3cd","147","false","","false","","285.00","2026-07-11T16:45:02.368Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3ce","146","false","","false","","205.00","2026-07-11T16:45:07.383Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3cf","145","false","","false","","165.00","2026-07-11T16:45:09.620Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3d0","144","false","","false","","135.00","2026-07-11T16:45:12.429Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3d1","161","false","","false","","75.00","2026-07-11T16:45:50.168Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
"6a89a3043fb8c43ecce7c3d2","162","false","","false","","80.00","2026-07-11T16:46:22.114Z","""2026-08-22T13:49:11.896Z""","""public"".""menu_overrides"""
