_id,id,created_at,item_name,line_total,menu_item_id,order_id,quantity,unit_price,_migrated_at,_migrated_from
"6a899f923fb8c43ecce7be52","01dcfb06-9cf1-4bec-88ef-522cbba5a16c","2026-08-22T11:04:41.923Z","Hot & Sour Veg Soup","150.00","1","1941300f-a37a-484b-adfb-206cef9056c6","2","75.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a899f923fb8c43ecce7be53","f4ed6fd1-0e41-49bd-b5c8-ff293f80c32d","2026-08-22T11:05:29.331Z","Paneer 65","270.00","10","1941300f-a37a-484b-adfb-206cef9056c6","2","135.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a899f923fb8c43ecce7be54","060f9fdf-2a3b-4219-a762-7864193c5915","2026-08-22T11:25:33.502Z","Hyderabadi Chicken Biryani (Full)","420.00","58","608ce1cc-cc20-4275-b89c-f06b4ebca8ae","3","140.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a899f923fb8c43ecce7be55","c52c3a03-1ade-4e95-8f18-2ab70493bb1c","2026-08-22T11:25:33.502Z","Tandoori Chicken (Half)","210.00","40","608ce1cc-cc20-4275-b89c-f06b4ebca8ae","1","210.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a899f923fb8c43ecce7be56","ff16746e-2ffb-48c5-93dd-0c30413538d6","2026-08-22T11:25:33.502Z","Water 1 Litre","20.00","198","608ce1cc-cc20-4275-b89c-f06b4ebca8ae","1","20.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a899f923fb8c43ecce7be57","917f3ea1-badf-4022-a991-3b87bae92490","2026-08-22T11:33:49.235Z","Murg Chicken Tikka","330.00","30","86cda1af-03b2-49a7-99df-97b394a7a78c","2","165.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a899f923fb8c43ecce7be58","c8d54de1-7bb9-4c73-ada1-6e06a79256d1","2026-08-22T11:33:49.235Z","🍱 [COMBO] Tranga kabab plater (Chicken tikka ,haryali kabab , malai kabab)","595.00","","86cda1af-03b2-49a7-99df-97b394a7a78c","1","595.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a899f923fb8c43ecce7be59","84048f25-2fe5-48fd-bfd4-98e325176564","2026-08-22T11:34:06.901Z","Hot & Sour Veg Soup","150.00","1","86cda1af-03b2-49a7-99df-97b394a7a78c","2","75.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a899f933fb8c43ecce7be5a","ce18c8a1-88b9-4341-82a9-69ff9ce79b54","2026-08-22T11:38:01.742Z","🍱 [COMBO] Tranga kabab plater (Chicken tikka ,haryali kabab , malai kabab)","1190.00","","5c3b62f8-f7cc-4173-a146-6782a6888d32","2","595.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a899f933fb8c43ecce7be5b","134a1ee3-074f-4b3f-a0f9-7a0a22300764","2026-08-22T11:38:38.405Z","LIMRA Special Platter (Full Chicken + Kababs)","855.00","44","5c3b62f8-f7cc-4173-a146-6782a6888d32","1","855.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a899f933fb8c43ecce7be5c","13e9f105-bc50-40e4-bc32-e544d06e150b","2026-08-22T12:17:28.425Z","LIMRA Special Platter (Full Chicken + Kababs)","855.00","44","5c3b62f8-f7cc-4173-a146-6782a6888d32","1","855.00","""2026-08-22T13:49:15.187Z""","""public"".""order_items"""
"6a89a0a8e87083af550ea5e8","","""2026-08-22T13:14:16.735Z""","Hot & Sour Veg Soup","75","1","6a89a0a8e87083af550ea5e7","1","75","",""
"6a89a0a9e87083af550ea5eb","","""2026-08-22T13:14:17.025Z""","Chicken Biryani","440","58","6a89a0a8e87083af550ea5ea","2","220","",""
"6a89a0a9e87083af550ea5ee","","""2026-08-22T13:14:17.505Z""","Hot & Sour Chicken Soup","95","2","6a89a0a9e87083af550ea5ed","1","95","",""
