_id,id,category,cost_price,is_available,min_qty,name,qty,sku,supplier,unit,updated_at,_migrated_at,_migrated_from,current_stock
"6a899f963fb8c43ecce7be5d","stk_10","Bhusimal & Spices","65","true","1","Soy Sauce","5","J010","Egra Supplier","pcs","""2026-08-22T19:57:52.692Z""","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""","-4"
"6a899f963fb8c43ecce7be5e","stk_46","Bhusimal & Spices","14","true","5","Papad","19","J046","Egra Supplier","packet","2026-08-21T16:27:58.452Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f963fb8c43ecce7be5f","stk_40","Bhusimal & Spices","230","true","2","Shahi Jeera","3","J040","Egra Supplier","packet","2026-08-21T16:28:43.311Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be60","stk_24","Bhusimal & Spices","85","true","1","Red Food Color","1","J024","Egra Supplier","box","2026-08-16T15:41:46.756Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be61","stk_54","Dairy Items","30","false","2","Milk (দুধ)","1","J054","Egra Supplier","packet","2026-08-21T16:53:45.980Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be62","stk_44","Bhusimal & Spices","145","true","1","Mushroom","1","J044","Egra Supplier","box","2026-08-16T15:43:16.324Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be63","stk_77","Fresh Vegetables","160","true","1","Ginger (আদা)","1","J077","Egra Supplier","kg","2026-08-19T13:27:09.039Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be64","stk_30","Bhusimal & Spices","20","true","2","Posto (Poppy Seeds)","4","J030","Egra Supplier","packet","2026-08-19T13:16:34.704Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be65","stk_57","Dairy Items","60","true","2","Butter","2","J057","Egra Supplier","packet","2026-08-21T16:54:19.081Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be66","stk_58","Dairy Items","75","true","2","Amul Fresh Cream","7","J058","Egra Supplier","packet","2026-08-20T16:01:35.640Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be67","stk_43","Bhusimal & Spices","80","true","1","Baking Powder","0","J043","Egra Supplier","box","2026-08-05T17:32:02.903Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be68","stk_68","Cold Drinks","0","false","24","Local Mineral Water 500ml","0","J068","Egra Supplier","pcs","2026-08-07T16:23:25.504Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be69","stk_28","Bhusimal & Spices","0.13","true","200","Mouri (Fennel Seeds)","1000","J028","Egra Supplier","g","2026-08-04T15:09:13.970Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be6a","stk_32","Bhusimal & Spices","0.6","true","500","Kaju (Cashew Nuts)","2000","J032","Egra Supplier","g","2026-08-04T16:10:15.201Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be6b","stk_72","Cold Drinks","0","false","24","Thums Up 750ml","0","J072","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be6c","stk_87","Fresh Vegetables","0","false","1","Pudina Pata (Mint)","0","J087","Egra Supplier","kg","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f973fb8c43ecce7be6d","stk_89","Ice Cream","0","false","20","Rs 10 Rabdi","0","J089","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be6e","stk_91","Ice Cream","0","false","20","Rs 10 Bati","0","J091","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be6f","stk_92","Ice Cream","0","false","20","Rs 20 Bati","0","J092","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be70","stk_94","Ice Cream","0","false","20","Rs 25 Cone","0","J094","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be71","stk_96","Ice Cream","0","false","20","Rs 40 Cone","0","J096","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be72","stk_97","Ice Cream","0","false","20","Rs 50 Cone","0","J097","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be73","stk_98","Ice Cream","0","false","15","Rs 60 Cone","0","J098","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be74","stk_99","Ice Cream","0","false","15","Rs 80 Stick","0","J099","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be75","stk_100","Ice Cream","0","false","10","Rs 100 Cone","0","J100","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be76","stk_101","Ice Cream","0","false","5","Family Pack Ice Cream","0","J101","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be77","stk_102","Ice Cream","0","false","5","1L Gallon Vanilla","0","J102","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be78","stk_103","Ice Cream","0","false","5","1L Gallon Butter Scotch","0","J103","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be79","stk_120","Packaging & Carry Bags","0","false","100","Foil Container","0","J120","Egra Supplier","pcs","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be7a","stk_130","Cleaning & Washings","0","false","5","Bleaching Powder","0","J130","Egra Supplier","kg","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f983fb8c43ecce7be7b","stk_131","Cleaning & Washings","0","false","10","Washing Powder","0","J131","Egra Supplier","kg","2026-08-04T14:32:01.363Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f993fb8c43ecce7be7c","stk_132","Cleaning & Washings","0","false","5","Floor Cleaner Liquid","99","J132","Egra Supplier","L","2026-08-04T14:36:50.465Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f993fb8c43ecce7be7d","stk_62","Cold Drinks","20","true","10","Campa White 500ml","24","J062","Egra Supplier","pcs","2026-08-21T16:42:04.520Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f993fb8c43ecce7be7e","stk_110","Packaging & Carry Bags","50","true","2","Chatni Box","7","J110","Egra Supplier","packet","2026-08-20T16:08:20.592Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
"6a899f993fb8c43ecce7be7f","stk_45","Bhusimal & Spices","70","false","1","Green Peas","1","J045","Egra Supplier","box","2026-08-19T13:32:41.670Z","""2026-08-22T13:49:25.091Z""","""public"".""stock_items""",""
