_id,id,category,created_at,date,department,name,notes,qty,reason,sku,unit,item_id,item_name,item_sku,used_by,_migrated_at,_migrated_from
"6a89a2563fb8c43ecce7bf9e","out_1785864757555","","2026-08-04T17:32:37.555Z","04-08-2026","Kitchen","","","23","Kitchen Usage","","packet","stk_2","Palm Oil (পাম অয়েল)","J002","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2563fb8c43ecce7bf9f","out_1785864785551","","2026-08-04T17:33:05.551Z","04-08-2026","Kitchen","","","15","Kitchen Usage","","packet","stk_7","Chowmein Noodle (চাউমিন)","J007","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2563fb8c43ecce7bfa0","out_1785864807774","","2026-08-04T17:33:27.774Z","04-08-2026","Kitchen","","","4","Kitchen Usage","","packet","stk_8","Tomato Sauce (টমেটো sos)","J008","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2563fb8c43ecce7bfa1","out_1785864849200","","2026-08-04T17:34:09.200Z","04-08-2026","Kitchen","","","3","Kitchen Usage","","pcs","stk_13","Kasuri Methi","J013","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2563fb8c43ecce7bfa2","out_1785864880360","","2026-08-04T17:34:40.360Z","04-08-2026","Kitchen","","","1","Kitchen Usage","","kg","stk_12","Corn Flour","J012","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2563fb8c43ecce7bfa3","out_1785864898797","","2026-08-04T17:34:58.798Z","04-08-2026","Kitchen","","","2","Kitchen Usage","","kg","stk_16","Ajinomoto (Ajina)","J016","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2563fb8c43ecce7bfa4","out_1785864910178","","2026-08-04T17:35:10.179Z","04-08-2026","Kitchen","","","1","Kitchen Usage","","L","stk_3","Refined Oil (রেফাইন্ড অয়েল)","J003","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfa5","out_1785864922987","","2026-08-04T17:35:22.987Z","04-08-2026","Kitchen","","","1","Kitchen Usage","","L","stk_4","Mustard Oil (মাস্টার অয়েল)","J004","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfa6","out_1785864937341","","2026-08-04T17:35:37.341Z","04-08-2026","Kitchen","","","3","Kitchen Usage","","packet","stk_1","Rice (রাইস)","J001","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfa7","out_1785864959818","","2026-08-04T17:35:59.818Z","04-08-2026","Kitchen","","","250","Kitchen Usage","","g","stk_19","Jeera (Cumin Seeds)","J019","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfa8","out_1785866784751","","2026-08-04T18:06:24.751Z","04-08-2026","Kitchen","","","1","Kitchen Usage","","pcs","stk_23","Attar / Essence","J023","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfa9","out_1785866796854","","2026-08-04T18:06:36.854Z","04-08-2026","Kitchen","","","5","Kitchen Usage","","kg","stk_6","Atta (আটা)","J006","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfaa","out_1785866830144","","2026-08-04T18:07:10.144Z","04-08-2026","Kitchen","","","1","Kitchen Usage","","box","stk_42","Pure Ghee","J042","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfab","out_1785866843143","","2026-08-04T18:07:23.143Z","04-08-2026","Kitchen","","","1","Kitchen Usage","","pcs","stk_11","Vinegar","J011","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfac","out_1785867036876","","2026-08-04T18:10:36.876Z","04-08-2026","Kitchen","","","180","Kitchen Usage","","g","stk_35","Long (Cloves)","J035","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfad","out_1785867077467","","2026-08-04T18:11:17.467Z","04-08-2026","Kitchen","","","1","Kitchen Usage","","pcs","stk_9","Chili Sauce","J009","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfae","out_1785867090073","","2026-08-04T18:11:30.073Z","04-08-2026","Kitchen","","","2","Kitchen Usage","","pcs","stk_15","Kashmiri Chilli Powder","J015","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfaf","out_1785867139425","","2026-08-04T18:12:19.426Z","04-08-2026","Kitchen","","","2300","Kitchen Usage","","kg","stk_29","Sugar","J029","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfb0","out_1785869180920","","2026-08-04T18:46:20.921Z","04-08-2026","Kitchen","","","3.3","Kitchen Usage","","kg","stk_88","Cucumber (শসা)","J088","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfb1","out_1785869272602","","2026-08-04T18:47:52.602Z","04-08-2026","Kitchen","","","6","Kitchen Usage","","kg","stk_83","Tomato (টমেটো)","J083","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfb2","out_1785869327618","","2026-08-04T18:48:47.618Z","04-08-2026","Kitchen","","","2.4","Kitchen Usage","","kg","stk_80","Carrot","J080","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfb3","out_1785869410738","","2026-08-04T18:50:10.738Z","04-08-2026","Kitchen","","","2.6","Kitchen Usage","","kg","stk_79","Capsicum","J079","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2573fb8c43ecce7bfb4","out_1785869437894","","2026-08-04T18:50:37.894Z","04-08-2026","Kitchen","","","5.2","Kitchen Usage","","kg","stk_84","Cabbage (বাঁধাকপি)","J084","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfb5","out_1785869481457","","2026-08-04T18:51:21.457Z","04-08-2026","Kitchen","","","1","Kitchen Usage","","kg","stk_82","Green Chilli (কাঁচা লঙ্কা)","J082","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfb6","out_1785869542266","","2026-08-04T18:52:22.266Z","04-08-2026","Kitchen","","","14","Kitchen Usage","","kg","stk_75","Potato (আলু)","J075","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfb7","out_1785869570672","","2026-08-04T18:52:50.672Z","04-08-2026","Kitchen","","","17.5","Kitchen Usage","","kg","stk_76","Onion (পেঁয়াজ)","J076","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfb8","out_1785870005389","","2026-08-04T19:00:05.389Z","04-08-2026","Kitchen","","","5","Kitchen Usage","","packet","stk_54","Milk (দুধ)","J054","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfb9","out_1785870140163","","2026-08-04T19:02:20.163Z","04-08-2026","Kitchen","","","16","Kitchen Usage","","kg","stk_55","Dahi (দই / Curd)","J055","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfba","out_1785939924823","","2026-08-05T14:25:24.823Z","05-08-2026","Kitchen","","","10","Kitchen Usage","","kg","stk_5","Maida (মাইদা)","J005","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfbb","out_1785949182917","","2026-08-05T16:59:42.917Z","05-08-2026","Kitchen","","","5","Kitchen Usage","","packet","stk_2","Palm Oil (পাম অয়েল)","J002","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfbc","out_1785949192445","","2026-08-05T16:59:52.445Z","05-08-2026","Kitchen","","","1","Kitchen Usage","","pcs","stk_13","Kasuri Methi","J013","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfbd","out_1785949215631","","2026-08-05T17:00:15.631Z","05-08-2026","Kitchen","","","0.5","Kitchen Usage","","kg","stk_16","Ajinomoto (Ajina)","J016","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfbe","out_1785949321783","","2026-08-05T17:02:01.783Z","05-08-2026","Kitchen","","","1.5","Kitchen Usage","","kg","stk_16","Ajinomoto (Ajina)","J016","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfbf","out_1785949708709","","2026-08-05T17:08:28.709Z","05-08-2026","Kitchen","","","1","Kitchen Usage","","kg","stk_12","Corn Flour","J012","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfc0","out_1785949722775","","2026-08-05T17:08:42.775Z","05-08-2026","Kitchen","","","1","Kitchen Usage","","packet","stk_8","Tomato Sauce (টমেটো sos)","J008","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2583fb8c43ecce7bfc1","out_1785949757065","","2026-08-05T17:09:17.065Z","05-08-2026","Kitchen","","","150","Kitchen Usage","","g","stk_37","Dalchini (Cinnamon)","J037","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfc2","out_1785950846062","","2026-08-05T17:27:26.062Z","05-08-2026","Kitchen","","","100","Kitchen Usage","","g","stk_39","Rose Petals","J039","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfc3","out_1785950881273","","2026-08-05T17:28:01.273Z","05-08-2026","Kitchen","","","3","Kitchen Usage","","packet","stk_17","Chilli Powder","J017","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfc4","out_1785951122903","","2026-08-05T17:32:02.903Z","05-08-2026","Kitchen","","","1","Kitchen Usage","","box","stk_43","Baking Powder","J043","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfc5","out_1785951138660","","2026-08-05T17:32:18.660Z","05-08-2026","Kitchen","","","1","Kitchen Usage","","L","stk_4","Mustard Oil (মাস্টার অয়েল)","J004","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfc6","out_1785951157567","","2026-08-05T17:32:37.567Z","05-08-2026","Kitchen","","","1","Kitchen Usage","","box","stk_44","Mushroom","J044","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfc7","out_1785951205072","","2026-08-05T17:33:25.072Z","05-08-2026","Kitchen","","","3.5","Kitchen Usage","","kg","stk_5","Maida (মাইদা)","J005","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfc8","out_1785951385961","","2026-08-05T17:36:25.961Z","05-08-2026","Kitchen","","","0.7","Kitchen Usage","","kg","stk_83","Tomato (টমেটো)","J083","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfc9","out_1785951420666","","2026-08-05T17:37:00.666Z","05-08-2026","Kitchen","","","0.5","Kitchen Usage","","kg","stk_79","Capsicum","J079","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfca","out_1785951461181","","2026-08-05T17:37:41.181Z","05-08-2026","Kitchen","","","0.5","Kitchen Usage","","kg","stk_80","Carrot","J080","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfcb","out_1785951493746","","2026-08-05T17:38:13.746Z","05-08-2026","Kitchen","","","0.12","Kitchen Usage","","kg","stk_84","Cabbage (বাঁধাকপি)","J084","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfcc","out_1785951524672","","2026-08-05T17:38:44.672Z","05-08-2026","Kitchen","","","0.5","Kitchen Usage","","kg","stk_88","Cucumber (শসা)","J088","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfcd","out_1785951562998","","2026-08-05T17:39:22.998Z","05-08-2026","Kitchen","","","2.5","Kitchen Usage","","kg","stk_75","Potato (আলু)","J075","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfce","out_1785951601369","","2026-08-05T17:40:01.369Z","05-08-2026","Kitchen","","","3.5","Kitchen Usage","","kg","stk_76","Onion (পেঁয়াজ)","J076","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
"6a89a2593fb8c43ecce7bfcf","out_1785951623537","","2026-08-05T17:40:23.537Z","05-08-2026","Kitchen","","","0.2","Kitchen Usage","","kg","stk_82","Green Chilli (কাঁচা লঙ্কা)","J082","","""2026-08-22T13:49:30.090Z""","""public"".""stock_out"""
